Assignment 1,Assignment 2,Assignment 3,Assignment 4,Midterm 1,Midterm 2,Final Exam
1,1,1,1,0.928571429,0.795454546,0.8333
0.759259259,0.962962963,0.9375,0.636363636,0.904761905,0.659090909,0.966666667
0.907407407,1,1,1,0.928571429,0.795454546,0.966666667
0.777777778,0.703703704,0.90625,0.840909091,0.547619048,0.872727273,0.833333333
0.814814815,1,0.9375,0.681818182,0.404761905,0.781818182,0.733333333
0.703703704,0.685185185,0.84375,1,1,0.681818182,0.866666667
0.814814815,0.5,0.8125,0.590909091,0.333333333,0.759090909,0.9
0.907407407,1,1,0.954545455,1,0.954545455,0.933333333
0.62962963,0.962962963,1,0.795454546,0.880952381,0.772727273,0.733333333
1,1,1,1,0.952380952,1,0.966666667
1,0.740740741,0.875,0.909090909,0.404761905,0.781818182,0.733333333
0.722222222,0.962962963,1,0.909090909,0.857142857,0.795454546,0.966666667
1,1,1,1,1,1,1
0.814814815,0.814814815,0.96875,1,0.571428571,0.986363636,0.9
0.777777778,1,0.84375,0.863636364,0.261904762,0.872727273,0.733333333
1,0.5,0.90625,0.909090909,0.571428571,0.636363636,0.566666667
1,0.962962963,0.640625,0.636363636,0.476190476,0.872727273,0.566666667
0.777777778,0.87037037,0.875,0.909090909,0.476190476,0.681818182,0.633333333
0.259259259,0.925925926,0.609375,0.681818182,0.5,0.681818182,0.433333333
1,0.962962963,0.75,0.954545455,0.357142857,0.759090909,0.4
0.777777778,1,0.84375,0.863636364,0.547619048,0.409090909,0.4
0.814814815,0.722222222,0.90625,0.909090909,0.261904762,0.827272727,0.533333333
0.907407407,1,1,1,0.5,0.659090909,0.566666667
0.833333333,0.777777778,0.421875,0.772727273,0.30952381,0.295454546,0.066666667
0.703703704,0.962962963,0.84375,0.659090909,0.357142857,0.5,0.4
0.5,0.777777778,0.9375,0.727272727,0.476190476,0.340909091,0.333333333
1,0.962962963,1,0.863636364,0.285714286,0.736363636,0.533333333
1,0.907407407,0.90625,0.954545455,0.238095238,0.872727273,0.533333333
0.962962963,0.925925926,0.90625,0.818181818,0.785714286,0.795454546,0.566666667
0,0.777777778,0.75,0.636363636,0.272380952,0.272727273,0
